Group,OriginalName,PaperName,Description
Grooming Quantity,OFA_Groom_first5m,GrTime5m," Sum of grooming duration, first 5 minutes"
Grooming Quantity,OFA_Groom_first20m,GrTime20m," Sum of grooming duration, first 20 minutes"
Grooming Quantity,OFA_Groom_first55m,GrTime55m," Sum of grooming duration, first 55 minutes"
Grooming Pattern,OFA_Groom_first55m_linearslope,GrTimeSlope55m, Slope of a linear fit for grooming duration in the first 55 minute-level bins
Grooming Quantity,OFA_GroomBouts_first5m,GrBoutNum5m," Count of grooming bouts, first 5 minutes"
Grooming Quantity,OFA_GroomBouts_first20m,GrBoutNumt20m," Count of grooming bouts, first 20 minutes"
Grooming Quantity,OFA_GroomBouts_first55m,GrBoutNumt55m," Count of grooming bouts, first 55 minutes"
Grooming Pattern,OFA_GroomBouts_first55m_linearslope,GrBoutNumSlope55m, Slope of a linear fit for bount count in the first 55 minute-level bins
Grooming Quantity,OFA_GroomAvgBout_first5m,GrBoutLength5m," Time spent grooming divided by number of bouts, first 5 minutes"
Grooming Quantity,OFA_GroomAvgBout_first20m,GrBoutLength20m," Time spent grooming divided by number of bouts, first 20 minutes"
Grooming Quantity,OFA_GroomAvgBout_first55m,GrBoutLength55m," Time spent grooming divided by number of bouts, first 55 minutes"
Grooming Pattern,OFA_GroomAvgBout_first55m_linearslope,GrBoutLengthSlope55m, Slope of a linear fit for average bout length in the first 55 minute-level bins
Anxiety,OFA_CornerTime_first5m,OFCornerTime5m," Time spent in any corner, first 5 minutes"
Anxiety,OFA_CornerTime_first20m,OFCornerTime20m," Time spent in any corner, first 20 minutes"
Anxiety,OFA_CornerTime_first55m,OFCornerTime55m," Time spent in any corner, first 55 minutes"
Activity,OFA_DistanceTraveled_first5m,OFDistTraveled5m," Locomotor activity, first 5 minutes"
Activity,OFA_DistanceTraveled_first20m,OFDistTraveled20m," Locomotor activity, first 20 minutes"
Activity,OFA_DistanceTraveled_first55m,OFDistTraveled55m," Locomotor activity, first 55 minutes"
Anxiety,OFA_PeripheryTime_first5m,OFPeripheryTime5m," Time spent along any wall, first 5 minutes"
Anxiety,OFA_PeripheryTime_first20m,OFPeripheryTime20m," Time spent along any wall, first 20 minutes"
Anxiety,OFA_PeripheryTime_first55m,OFPeripheryTime55m," Time spent along any wall, first 55 minutes"
Grooming Pattern,OFA_GroomPeakMidBin,GrPeakMidBin, Center of the 5-minute time bin when the most grooming occurred
Grooming Pattern,OFA_GroomPeakVal,GrPeakVal, Value of the time bin when the most grooming occurred
Grooming Pattern,OFA_GroomPeakSlope,GrPeakSlope, PeakVal/PeakMidBin
