identity,NetworkFilename,Strain,CoatColor,CoatColor_numeric,Sex,Sex_numeric,Weight,Box,Box_numeric,TestAge,TestDate,TestTime,OFA_DistanceTraveled_first5m,OFA_DistanceTraveled_first20m,OFA_DistanceTraveled_first55m,OFA_PeripheryTime_first5m,OFA_PeripheryTime_first20m,OFA_PeripheryTime_first55m,OFA_CornerTime_first5m,OFA_CornerTime_first20m,OFA_CornerTime_first55m,OFA_Groom_first5m,OFA_Groom_first20m,OFA_Groom_first55m,OFA_Groom_first55m_linearslope,OFA_GroomBouts_first5m,OFA_GroomBouts_first20m,OFA_GroomBouts_first55m,OFA_GroomBouts_first55m_linearslope,OFA_GroomAvgBout_first5m,OFA_GroomAvgBout_first20m,OFA_GroomAvgBout_first55m,OFA_GroomAvgBout_first55m_linearslope,OFA_GroomPeakMidBin,OFA_GroomPeakVal,OFA_GroomPeakSlope
BalbcJ-NA,LL1-B2B/2015-10-26_BG/LL1-1_BalbcJ.avi,BALB/cJ,Albino,3,M,1,29,LL1-1,1,11,2015-10-26,2019-11-21 11:20:00,988.12,4522.7172,11714.405,297.6973,1182.8813,3176.3721,2.43577,17.65097,125.091659,0,14.9149,151.6183,0.071788981962482,0,3,14,0.00476190476190476,NA,4.97163333333333,10.8298785714286,0.0877612773244258,37.5,50.3837,1.34356533333333
BalbcJ-NA,LL1-B2B/2015-10-26_BG/LL1-4_BalbcJ.avi,BALB/cJ,Albino,3,M,1,30,LL1-4,4,11,2015-10-26,2019-11-21 11:20:00,739.145,2014.7086,4030.8921,300.133,1200.532,3301.463,0,0,0,0,3.1031,103.737,0.0067287085137085,0,1,5,-0.000721500721500722,NA,3.1031,20.7474,0.474343690851735,27.5,82.4157,2.99693454545455
C57BL6J-NA,LL1-B2B/2015-11-16_BG/LL1-1_C57BL6J.avi,C57BL/6J,Black,6,M,1,25.1,LL1-1,1,8.85714285714286,2015-11-16,2019-11-21 10:55:00,3562.945,8946.3269,15525.67864,272.6393,1139.6064,3038.90597,27.49416,60.92759,262.562467,18.98567,144.87824,497.69734,0.163590230880231,2,7,15,-0.00432900432900433,9.492835,20.6968914285714,33.1798226666667,1.47830561382745,47.5,124.591,2.62296842105263
C57BL6J-NA,LL1-B2B/2015-11-16_BG/LL1-2_C57BL6J.avi,C57BL/6J,Black,6,M,1,26.4,LL1-2,2,8.85714285714286,2015-11-16,2019-11-21 10:55:00,2540.565,8108.016,17109.5249,271.1377,1022.8229,2905.0388,28.99568,177.71107,396.429721,10.61061,40.74065,644.6105,0.631323024531025,2,5,16,0.00173160173160173,5.305305,8.14813,40.28815625,1.90020052978516,52.5,250.817,4.77746666666667
C57BL6J-NA,LL1-B2B/2015-11-16_BG/LL1-3_C57BL6J.avi,C57BL/6J,Black,6,M,1,24.7,LL1-3,3,8.85714285714286,2015-11-16,2019-11-21 10:55:00,3597.338,9335.455,16515.9654,280.4472,1126.927,3150.4842,19.68636,73.60691,150.984258,9.64298,76.24289,376.34286,0.112890555555556,1,6,17,-0.000505050505050507,9.64298,12.7071483333333,22.1378152941176,0.829270651030671,42.5,127.861,3.00849411764706
C57BL6J-NA,LL1-B2B/2015-11-16_BG/LL1-4_C57BL6J.avi,C57BL/6J,Black,6,M,1,24.5,LL1-4,4,8.85714285714286,2015-11-16,2019-11-21 10:55:00,2310.35,6201.162,14236.0794,288.7889,1155.0553,3110.4444,11.344684,45.478773,191.024229,12.41241,89.15589,429.39617,0.165567207070707,2,6,16,0.00281385281385281,6.206205,14.859315,26.837260625,0.354226087703078,32.5,119.019,3.66212307692308
BTBR-NA,LL1-B2B/2015-12-08_BG/LL1-1_BTBR.avi,BTBR T<+>ltpr3<tf>/J,Agouti,1,M,1,32,LL1-1,1,9,2015-12-08,2019-11-21 10:45:00,3993.897,11574.7511,20342.3756,285.1518,1131.9987,3195.9296,14.981646,68.535176,105.538813,5.93927,282.98245,675.60865,0.00326485930735928,1,5,13,-7.21500721500736e-05,5.93927,56.59649,51.9698961538462,0.0362639446803628,17.5,198.7649,11.3579942857143
BTBR-NA,LL1-B2B/2015-12-08_BG/LL1-2_BTBR.avi,BTBR T<+>ltpr3<tf>/J,Agouti,1,M,1,32,LL1-2,2,9,2015-12-08,2019-11-21 10:45:00,5285.544,19485.555,30994.9365,275.6758,1070.5374,3106.1733,24.45779,129.9966,195.295235,4.60461,73.70708,634.00065,0.425181370851371,1,4,15,0.00577200577200577,4.60461,18.42677,42.26671,0.71816917651544,52.5,227.794,4.33893333333333
BTBR-NA,LL1-B2B/2015-12-08_BG/LL1-3_BTBR.avi,BTBR T<+>ltpr3<tf>/J,Agouti,1,M,1,33,LL1-3,3,9,2015-12-08,2019-11-21 10:45:00,3990.881,11679.3283,23292.0901,269.2693,1107.174,3139.3731,30.864188,93.360014,162.095426,0,182.24895,704.90536,0.26886243001443,0,5,14,0.000216450216450215,NA,36.44979,50.3503828571429,1.34245489318084,47.5,170.671,3.59307368421053
BTBR-NA,LL1-B2B/2015-12-08_BG/LL1-4_BTBR.avi,BTBR T<+>ltpr3<tf>/J,Agouti,1,M,1,32.5,LL1-4,4,9,2015-12-08,2019-11-21 10:45:00,4382.904,12402.6672,19449.4802,292.4591,1168.6688,3251.7523,7.674335,31.865187,49.716371,7.77444,211.84514,1016.04984,0.400682978354978,1,5,20,0.0108946608946609,7.77444,42.369028,50.802492,-0.0077312484559955,42.5,150.0839,3.53138588235294
