"MGI:1913300","0610009B22Rik","0610009B22Rik<tm1b(EUCOMM)Hmgu>/0610009B22Rik<tm1b(EUCOMM)Hmgu>","MP:0001489","decreased startle reflex"
"MGI:1923631","1700001O22Rik","1700001O22Rik<em1(IMPC)J>/1700001O22Rik<em1(IMPC)J>","MP:0001515","abnormal grip strength"
"MGI:1923631","1700001O22Rik","1700001O22Rik<em1(IMPC)J>/1700001O22Rik<em1(IMPC)J>","MP:0003313","abnormal locomotor activation"
"MGI:1923631","1700001O22Rik","1700001O22Rik<em1(IMPC)J>/1700001O22Rik<em1(IMPC)J>","MP:0010052","increased grip strength"
"MGI:1916577","1700007K13Rik","1700007K13Rik<tm2b(EUCOMM)Wtsi>/1700007K13Rik<tm2b(EUCOMM)Wtsi>","MP:0001515","abnormal grip strength"
"MGI:1922754","1700013F07Rik","1700013F07Rik<em1Fuxi>/1700013F07Rik<+>","MP:0001405","impaired coordination"
"MGI:1922754","1700013F07Rik","1700013F07Rik<em1Fuxi>/1700013F07Rik<+>","MP:0001406","abnormal gait"
"MGI:1922754","1700013F07Rik","1700013F07Rik<em1Fuxi>/1700013F07Rik<+>","MP:0001407","short stride length"
"MGI:1922754","1700013F07Rik","1700013F07Rik<em1Fuxi>/1700013F07Rik<+>","MP:0001513","limb grasping"
"MGI:1922754","1700013F07Rik","1700013F07Rik<em1Fuxi>/1700013F07Rik<+>","MP:0009434","paraparesis"
"MGI:1922754","1700013F07Rik","1700013F07Rik<em1Fuxi>/1700013F07Rik<+>","MP:0010053","decreased grip strength"
"MGI:1922754","1700013F07Rik","1700013F07Rik<em1Fuxi>/1700013F07Rik<em1Fuxi>","MP:0001405","impaired coordination"
"MGI:1922754","1700013F07Rik","1700013F07Rik<em1Fuxi>/1700013F07Rik<em1Fuxi>","MP:0001406","abnormal gait"
"MGI:1922754","1700013F07Rik","1700013F07Rik<em1Fuxi>/1700013F07Rik<em1Fuxi>","MP:0001407","short stride length"
"MGI:1922754","1700013F07Rik","1700013F07Rik<em1Fuxi>/1700013F07Rik<em1Fuxi>","MP:0001513","limb grasping"
"MGI:1922754","1700013F07Rik","1700013F07Rik<em1Fuxi>/1700013F07Rik<em1Fuxi>","MP:0009434","paraparesis"
"MGI:1922754","1700013F07Rik","1700013F07Rik<em1Fuxi>/1700013F07Rik<em1Fuxi>","MP:0010053","decreased grip strength"
"MGI:1922754","1700013F07Rik","1700013F07Rik<em2.1Fuxi>/1700013F07Rik<+>","MP:0001405","impaired coordination"
"MGI:1922754","1700013F07Rik","1700013F07Rik<em2.1Fuxi>/1700013F07Rik<+>","MP:0001407","short stride length"
"MGI:1922754","1700013F07Rik","1700013F07Rik<em2.1Fuxi>/1700013F07Rik<+>","MP:0001513","limb grasping"
"MGI:1922754","1700013F07Rik","1700013F07Rik<em2.1Fuxi>/1700013F07Rik<+>","MP:0004262","abnormal physical strength"
"MGI:1922754","1700013F07Rik","1700013F07Rik<em2.1Fuxi>/1700013F07Rik<+>","MP:0005498","hyporesponsive to tactile stimuli"
"MGI:1922754","1700013F07Rik","1700013F07Rik<em2.1Fuxi>/1700013F07Rik<+>","MP:0010053","decreased grip strength"
